decision_time,direction,confidence,entry_btc,exit_btc,btc_up,correct,pnl,vol_regime,hour
2026-05-09T08:39:00+00:00,short,0.616,80432.1,80429.64,False,True,1.0,LOW,8
2026-05-09T09:24:00+00:00,long,0.616,80308.43,80258.21,False,False,-1.0,LOW,9
2026-05-09T09:39:00+00:00,long,0.616,80259.84,80243.28,False,False,-1.0,LOW,9
2026-05-09T10:39:00+00:00,short,0.645,80323.56,80321.86,False,True,1.0,LOW,10
2026-05-09T10:54:00+00:00,long,0.77,80274.27,80259.99,False,False,-1.0,LOW,10
2026-05-09T11:24:00+00:00,short,0.6033,80343.82,80340.92,False,True,1.0,LOW,11
2026-05-09T12:24:00+00:00,short,0.645,80397.99,80384.62,False,True,1.0,LOW,12
2026-05-09T12:39:00+00:00,long,0.6033,80329.69,80351.13,True,True,1.0,LOW,12
2026-05-09T12:54:00+00:00,short,0.6033,80398.04,80397.97,False,True,1.0,LOW,12
2026-05-09T13:24:00+00:00,long,0.7095,80355.16,80369.66,True,True,1.0,LOW,13
2026-05-09T13:54:00+00:00,short,0.847,80362.84,80385.69,True,False,-1.0,LOW,13
2026-05-09T15:24:00+00:00,short,0.6637,80385.57,80471.28,True,False,-1.0,LOW,15
2026-05-09T15:39:00+00:00,short,0.7095,80526.52,80496.7,False,True,1.0,LOW,15
2026-05-09T16:39:00+00:00,long,0.77,80614.44,80639.69,True,True,1.0,LOW,16
2026-05-09T17:09:00+00:00,short,0.645,80769.72,80748.42,False,True,1.0,LOW,17
2026-05-09T17:39:00+00:00,short,0.6033,80895.19,80823.47,False,True,1.0,LOW,17
2026-05-09T17:54:00+00:00,long,0.645,80781.82,80836.08,True,True,1.0,LOW,17
2026-05-09T19:54:00+00:00,short,0.645,80931.49,80927.76,False,True,1.0,LOW,19
2026-05-09T20:09:00+00:00,long,0.77,80875.86,80819.58,False,False,-1.0,LOW,20
2026-05-09T20:24:00+00:00,long,0.645,80773.56,80796.55,True,True,1.0,LOW,20
2026-05-09T21:09:00+00:00,short,0.6033,80852.77,80856.2,True,False,-1.0,LOW,21
2026-05-09T21:24:00+00:00,long,0.645,80805.5,80809.53,True,True,1.0,LOW,21
2026-05-09T23:24:00+00:00,long,0.645,80691.9,80664.69,False,False,-1.0,LOW,23
2026-05-09T23:54:00+00:00,short,0.6033,80696.48,80691.63,False,True,1.0,LOW,23
2026-05-10T00:54:00+00:00,long,0.6335,80662.86,80643.59,False,False,-1.0,LOW,0
2026-05-10T01:54:00+00:00,short,0.6773,80685.9,80671.13,False,True,1.0,LOW,1
2026-05-10T03:39:00+00:00,short,0.645,80859.99,80828.64,False,True,1.0,LOW,3
2026-05-10T03:54:00+00:00,long,0.77,80814.14,80796.7,False,False,-1.0,LOW,3
2026-05-10T05:24:00+00:00,short,0.645,80809.44,80791.41,False,True,1.0,LOW,5
2026-05-10T05:54:00+00:00,long,0.645,80682.01,80700.77,True,True,1.0,LOW,5
2026-05-10T06:09:00+00:00,short,0.616,80738.95,80708.0,False,True,1.0,LOW,6
2026-05-10T10:09:00+00:00,short,0.77,80835.26,80717.47,False,True,1.0,LOW,10
2026-05-10T10:54:00+00:00,short,0.645,80877.87,80873.8,False,True,1.0,LOW,10
2026-05-10T11:24:00+00:00,long,0.645,80803.07,80812.87,True,True,1.0,LOW,11
2026-05-10T12:24:00+00:00,short,0.645,80913.8,80924.81,True,False,-1.0,LOW,12
2026-05-10T15:39:00+00:00,short,0.7095,81097.21,81190.49,True,False,-1.0,LOW,15
2026-05-10T15:54:00+00:00,long,0.847,81347.19,81444.05,True,True,1.0,LOW,15
2026-05-10T16:24:00+00:00,long,0.645,81278.45,81271.3,False,False,-1.0,LOW,16
2026-05-10T17:24:00+00:00,short,0.6033,81400.11,81365.44,False,True,1.0,LOW,17
2026-05-10T17:39:00+00:00,long,0.645,81291.01,81349.92,True,True,1.0,LOW,17
2026-05-10T17:54:00+00:00,short,0.645,81499.19,81434.5,False,True,1.0,LOW,17
2026-05-10T18:39:00+00:00,long,0.645,81313.08,81257.95,False,False,-1.0,LOW,18
2026-05-10T19:24:00+00:00,short,0.6033,81466.61,81470.01,True,False,-1.0,LOW,19
2026-05-10T19:39:00+00:00,long,0.77,81407.84,81430.25,True,True,1.0,LOW,19
2026-05-10T19:54:00+00:00,long,0.645,81345.99,81436.36,True,True,1.0,LOW,19
2026-05-10T20:09:00+00:00,short,0.6033,81459.66,81186.14,False,True,1.0,LOW,20
2026-05-10T22:09:00+00:00,short,0.57,81193.75,81279.54,True,False,-1.0,LOW,22
2026-05-10T23:54:00+00:00,long,0.645,82191.6,82283.4,True,True,1.0,LOW,23
2026-05-11T00:54:00+00:00,long,0.5985,81345.21,81440.0,True,True,1.0,LOW,0
2026-05-11T01:24:00+00:00,short,0.5985,81714.9,81545.38,False,True,1.0,LOW,1
2026-05-11T02:24:00+00:00,long,0.6033,81230.01,81277.08,True,True,1.0,LOW,2
2026-05-11T03:09:00+00:00,long,0.645,81033.59,80643.65,False,False,-1.0,LOW,3
2026-05-11T03:24:00+00:00,long,0.6033,80680.01,80623.72,False,False,-1.0,LOW,3
2026-05-11T05:24:00+00:00,short,0.645,80931.65,80942.39,True,False,-1.0,LOW,5
2026-05-11T09:39:00+00:00,long,0.616,80876.51,80899.67,True,True,1.0,LOW,9
2026-05-11T10:09:00+00:00,short,0.645,81068.7,81048.62,False,True,1.0,LOW,10
2026-05-11T10:39:00+00:00,long,0.77,81027.01,81077.09,True,True,1.0,LOW,10
2026-05-11T11:24:00+00:00,short,0.6033,81129.98,81135.19,True,False,-1.0,LOW,11
2026-05-11T12:24:00+00:00,short,0.645,81313.75,81311.91,False,True,1.0,LOW,12
2026-05-11T12:54:00+00:00,long,0.6033,81077.6,81135.69,True,True,1.0,LOW,12
2026-05-11T13:09:00+00:00,short,0.7095,81260.38,81295.82,True,False,-1.0,LOW,13
2026-05-11T13:39:00+00:00,long,0.572,80869.29,81064.75,True,True,1.0,LOW,13
2026-05-11T14:09:00+00:00,short,0.6637,81209.23,81140.0,False,True,1.0,LOW,14
2026-05-11T14:24:00+00:00,long,0.627,80954.75,80790.53,False,False,-1.0,LOW,14
2026-05-11T16:09:00+00:00,short,0.645,81574.5,81748.56,True,False,-1.0,LOW,16
